VMFXX	https://investor.vanguard.com/investment-products/mutual-funds/profile/vmfxx	//*[@id="Dashboard"]/div[3]/div/div[2]/dashboard-stats/div/div[2]/div[2]/div[2]/div/h4/div/h4[1]
VMRXX	https://investor.vanguard.com/investment-products/mutual-funds/profile/vmrxx	//*[@id="Dashboard"]/div[3]/div/div[2]/dashboard-stats/div/div[2]/div[2]/div[2]/div/h4/div/h4[1]
VMSXX	https://investor.vanguard.com/investment-products/mutual-funds/profile/vmsxx	//*[@id="Dashboard"]/div[3]/div/div[2]/dashboard-stats/div/div[2]/div[2]/div[2]/div/h4/div/h4[1]
VUSXX	https://investor.vanguard.com/investment-products/mutual-funds/profile/vusxx	//*[@id="Dashboard"]/div[3]/div/div[2]/dashboard-stats/div/div[2]/div[2]/div[2]/div/h4/div/h4[1]
SPAXX	https://fundresearch.fidelity.com/mutual-funds/summary/31617H102	//*[@id="app-content-container"]/app-root/mfl-fund-layout/div/mfl-fund-header/div/div[3]/div[1]/mfl-daily-info-snapshot/div[3]/div[2]/mfl-daily-info-section/div/div/div/div
FDLXX	https://fundresearch.fidelity.com/mutual-funds/summary/31617H300	//*[@id="app-content-container"]/app-root/mfl-fund-layout/div/mfl-fund-header/div/div[3]/div[1]/mfl-daily-info-snapshot/div[3]/div[2]/mfl-daily-info-section/div/div/div/div
FDRXX	https://fundresearch.fidelity.com/mutual-funds/summary/316067107	//*[@id="app-content-container"]/app-root/mfl-fund-layout/div/mfl-fund-header/div/div[3]/div[1]/mfl-daily-info-snapshot/div[3]/div[2]/mfl-daily-info-section/div/div/div/div
FMPXX	https://fundresearch.fidelity.com/mutual-funds/summary/316175207	//*[@id="app-content-container"]/app-root/mfl-fund-layout/div/mfl-fund-header/div/div[3]/div[1]/mfl-daily-info-snapshot/div[3]/div[2]/mfl-daily-info-section/div/div/div/div
FTEXX	https://fundresearch.fidelity.com/mutual-funds/summary/316048107	//*[@id="app-content-container"]/app-root/mfl-fund-layout/div/mfl-fund-header/div/div[3]/div[1]/mfl-daily-info-snapshot/div[3]/div[2]/mfl-daily-info-section/div/div/div/div
FZDXX	https://fundresearch.fidelity.com/mutual-funds/summary/31617H805	//*[@id="app-content-container"]/app-root/mfl-fund-layout/div/mfl-fund-header/div/div[3]/div[1]/mfl-daily-info-snapshot/div[3]/div[2]/mfl-daily-info-section/div/div/div/div
SUB	https://www.ishares.com/us/products/239772/ishares-shortterm-national-amtfree-muni-bond-etf	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[2]/div[1]/div[2]/div[2]/span
CALI	https://www.ishares.com/us/products/332497/ishares-short-term-california-muni-active-etf	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[1]/div[2]/div[2]/div[1]/span
INMU	https://www.ishares.com/us/products/317976/	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[2]/div[1]/div[2]/div[2]/span
MEAR	https://www.ishares.com/us/products/272112/	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[2]/div[1]/div[2]/div[2]/span
CMF	https://www.ishares.com/us/products/239731/	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[2]/div[1]/div[2]/div[2]/span
NYF	https://www.ishares.com/us/products/239767/	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[2]/div[1]/div[2]/div[2]/span
MUB	https://www.ishares.com/us/products/239766/	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[2]/div[1]/div[2]/div[2]/span
SGOV	https://www.ishares.com/us/products/314116/	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[1]/div[2]/div[2]/div[1]/span
USFR	https://www.wisdomtree.com/us/products/fixed-income/usfr	/html/body/main/div[2]/div[1]/div[1]/div[3]/div[2]/h3
SWVXX	https://www.schwabassetmanagement.com/products/swvxx	//*[@id="sfm-table--yields"]/table/tbody/tr[1]/td[2]
SNVXX	https://www.schwabassetmanagement.com/products/snvxx	//*[@id="sfm-table--yields"]/table/tbody/tr[1]/td[2]
SNOXX	https://www.schwabassetmanagement.com/products/snoxx	//*[@id="sfm-table--yields"]/table/tbody/tr[1]/td[2]
SNSXX	https://www.schwabassetmanagement.com/products/snsxx	//*[@id="sfm-table--yields"]/table/tbody/tr[1]/td[2]
SWTXX	https://www.schwabassetmanagement.com/products/swtxx	//*[@id="sfm-table--yields"]/table/tbody/tr[1]/td[2]
SWYXX	https://www.schwabassetmanagement.com/products/swyxx	//*[@id="sfm-table--yields"]/table/tbody/tr[1]/td[2]
SWKXX	https://www.schwabassetmanagement.com/products/swkxx	//*[@id="sfm-table--yields"]/table/tbody/tr[1]/td[2]
FSIXX	https://fundresearch.fidelity.com/mutual-funds/view-all/233809300	//*[@id="app-content-container"]/app-root/mfl-fund-layout/div/mfl-fund-header/div/div[3]/div[1]/mfl-daily-info-snapshot/div[3]/div[2]/mfl-daily-info-section/div/div/div/div
VBIL	https://investor.vanguard.com/investment-products/etfs/profile/vbil	//*[@id="Dashboard"]/div[3]/div/div[2]/dashboard-stats/div/div[2]/div[2]/div[2]/div/h4/div/h4[1]
USHY	https://www.ishares.com/us/products/291299/ishares-broad-usd-high-yield-corporate-bond-etf	//*[@id="EmbeddedWalrusHtml"]/div/div/div/div/div/div/div/div/div/div/div[2]/div[7]/div/div[4]/walrus-render-on-client/div/div/div[2]/div[2]/div[1]/div[2]/div[2]/span
VTEB	https://investor.vanguard.com/investment-products/etfs/profile/vteb	//*[@id="Dashboard"]/div[3]/div/div[2]/dashboard-stats/div/div[2]/div[2]/div[2]/div/h4/div/h4[1]
IBTG	https://www.ishares.com/us/products/312463/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTH	https://www.ishares.com/us/products/312460/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTI	https://www.ishares.com/us/products/312463/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTJ	https://www.ishares.com/us/products/312466/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTK	https://www.ishares.com/us/products/314830/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTL	https://www.ishares.com/us/products/319421/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTM	https://www.ishares.com/us/products/328944/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTO	https://www.ishares.com/us/products/328944/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTP	https://www.ishares.com/us/products/337745/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBTQ	https://www.ishares.com/us/products/342105/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBGA	https://www.ishares.com/us/products/337747/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBGB	https://www.ishares.com/us/products/342124/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBGK	https://www.ishares.com/us/products/337749/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBGL	https://www.ishares.com/us/products/342146/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBGM	https://www.ishares.com/us/products/350032/ishares-ibonds-dec-2056-term-treasury-etf	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIC	https://www.ishares.com/us/products/333118/	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBID	https://www.ishares.com/us/products/333135/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIE	https://www.ishares.com/us/products/333132/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIF	https://www.ishares.com/us/products/333141/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIG	https://www.ishares.com/us/products/333128/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIH	https://www.ishares.com/us/products/333121/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBII	https://www.ishares.com/us/products/333079/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIJ	https://www.ishares.com/us/products/333076/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIK	https://www.ishares.com/us/products/337462/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIL	https://www.ishares.com/us/products/342148/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBIM	https://www.ishares.com/us/products/350034/ishares-ibonds-oct-2036-term-tips-etf	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMO	https://www.ishares.com/us/products/308047/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMP	https://www.ishares.com/us/products/308049/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMQ	https://www.ishares.com/us/products/308051/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMR	https://www.ishares.com/us/products/331834/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMS	https://www.ishares.com/us/products/337460/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMT	https://www.ishares.com/us/products/342151/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMU	https://www.ishares.com/us/products/350229/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMV	https://www.ishares.com/us/products/350118/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMW	https://www.ishares.com/us/products/350118/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBMX	https://www.ishares.com/us/products/350233/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDR	https://www.ishares.com/us/products/285027/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDS	https://www.ishares.com/us/products/290315/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDT	https://www.ishares.com/us/products/304570/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDU	https://www.ishares.com/us/products/310035/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDV	https://www.ishares.com/us/products/314496/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDW	https://www.ishares.com/us/products/319154/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDX	https://www.ishares.com/us/products/328675/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
IBDY	https://www.ishares.com/us/products/332289/?referrer=tickerSearch	//span[@data-id="fundamentalsAndRisk-fxHedgedYield-data"]	scrape
